[domain]	property	range
DigitalTwin:Locomotive	DigitalTwin:locomotiveTractionType	xsd:string
DigitalTwin:Locomotive	DigitalTwin:locomotiveBrakeType	xsd:string
DigitalTwin:Locomotive	DigitalTwin:locomotiveDriverIndication	xsd:string
DigitalTwin:Locomotive	DigitalTwin:locomotiveIdentifier	xsd:string
DigitalTwin:Parcel	DigitalTwin:parcelSize	xsd:integer
DigitalTwin:RailwayWagon	DigitalTwin:wagonMaximumSpeed	xsd:integer
DigitalTwin:RailwayWagon	DigitalTwin:wagonBrakeWeight	xsd:integer
DigitalTwin:RailwayWagon	DigitalTwin:wagonBrakeType	xsd:string
DigitalTwin:Route	PhysicalInfrastructure:routDigitalTwin	DigitalTwin:DigitalTwin
DigitalTwin:Trailer	DigitalTwin:equipmentTrailerLicensePlate	xsd:string
DigitalTwin:Truck	DigitalTwin:truckLicensePlate	xsd:string
DigitalTwin:Vessel	DigitalTwin:vesselType	xsd:string
DigitalTwin:Vessel	DigitalTwin:vesselName	xsd:string
DigitalTwin:bulkCargo	DigitalTwin:bulkVolume	xsd:integer
DigitalTwin:containerizedCargo	DigitalTwin:damageLocation	xsd:string
DigitalTwin:containerizedCargo	DigitalTwin:containerType	classifications:containerType
DigitalTwin:containerizedCargo	DigitalTwin:cargoContainerSize	xsd:integer
DigitalTwin:containerizedCargo	DigitalTwin:cargoContainerType	xsd:string
DigitalTwin:containerizedCargo	DigitalTwin:damageRemarks	xsd:string
DigitalTwin:containerizedCargo	DigitalTwin:cargoContainerNumber	xsd:string
DigitalTwin:containerizedCargo	DigitalTwin:netLoad	xsd:integer
DigitalTwin:generalCargo	DigitalTwin:marksNumber	xsd:string
DigitalTwin:generalCargo	DigitalTwin:measure	xsd:integer
DigitalTwin:generalCargo	DigitalTwin:packageLevelType	xsd:string
DigitalTwin:generalCargo	DigitalTwin:shippingMarks	xsd:string
DigitalTwin:generalCargo	DigitalTwin:goodsDescription	xsd:string
DigitalTwin:generalCargo	DigitalTwin:cargoGrossMass	xsd:integer
DigitalTwin:generalCargo	DigitalTwin:numberofPackages	xsd:integer
DigitalTwin:generalCargo	DigitalTwin:netMass	xsd:integer
DigitalTwin:railwayWagon	DigitalTwin:wagonNrAxel	xsd:string
Event:Event	Event:DateTime	Event:Date
Event:Event	Event:Event_mileStone_detail	Event:MileStone
Event:Event	Event:involvedLogisticsService	businessService:logisticsService
Event:Event	Event:involvedDigitalTwin	DigitalTwin:DigitalTwin
Event:Pickup	Event:ExpectedPickupTime_Latest	xsd:dateTime
Event:Pickup	Event:ExpectedPickupTime_Earliest	xsd:dateTime
Event:Pickup	Event:ExpectedPickupDate	xsd:date
PhysicalInfrastructure:Location	PhysicalInfrastructure:hasRole	PhysicalInfrastructure:locationRole
PhysicalInfrastructure:Road	PhysicalInfrastructure:roadName	xsd:string
PhysicalInfrastructure:locationRole	PhysicalInfrastructure:hasEvent	Event:Event
PhysicalInfrastructure:locationRole	PhysicalInfrastructure:digitalTwin	DigitalTwin:DigitalTwin
PhysicalInfrastructure:locationRole	PhysicalInfrastructure:businessTransaction	businessService:BusinessTransaction
PhysicalInfrastructure:locationRole	PhysicalInfrastructure:location	PhysicalInfrastructure:Location
businessService:Booking	businessService:bookingNumber	xsd:string
businessService:BusinessTransaction	businessService:service_detail	businessService:logisticsService
businessService:BusinessTransaction	businessService:InvolvedEvent	Event:Event
businessService:TransportService	businessService:transportModality_detail	classifications:transportModality
businessService:TransportService	businessService:transportServiceDurationAverage	xsd:decimal
businessService:TransportService	businessService:deviationDuration	xsd:decimal
businessService:TransportService	businessService:transportMovement_detail	classifications:transportMovementType
businessService:customer	businessService:customerName	xsd:string
businessService:logisticsActor	businessService:ActorLocationRole	PhysicalInfrastructure:locationRole
businessService:logisticsActor	businessService:ActorDigitalTwin	DigitalTwin:DigitalTwin
businessService:logisticsService	businessService:location_detail	DigitalTwin:Location
businessService:logisticsServiceProvider	businessService:LSPWebSite	xsd:string
businessService:logisticsServiceProvider	businessService:LSPName	xsd:string
owl:AllDifferent	owl:distinctMembers	rdf:List
owl:Class	owl:disjointUnionOf	rdf:List
owl:Class	owl:complementOf	owl:Class
owl:Class	owl:hasKey	rdf:List
owl:Class	owl:disjointWith	owl:Class
owl:NegativePropertyAssertion	owl:assertionProperty	rdf:Property
owl:NegativePropertyAssertion	owl:targetValue	rdfs:Literal
owl:NegativePropertyAssertion	owl:targetIndividual	owl:Thing
owl:NegativePropertyAssertion	owl:sourceIndividual	owl:Thing
owl:ObjectProperty	owl:inverseOf	owl:ObjectProperty
owl:ObjectProperty	owl:propertyChainAxiom	rdf:List
owl:Ontology	owl:incompatibleWith	owl:Ontology
owl:Ontology	owl:versionIRI	owl:Ontology
owl:Ontology	owl:priorVersion	owl:Ontology
owl:Ontology	owl:imports	owl:Ontology
owl:Ontology	owl:backwardCompatibleWith	owl:Ontology
owl:Restriction	owl:onDataRange	rdfs:Datatype
owl:Restriction	owl:hasValue	rdfs:Resource
owl:Restriction	owl:minQualifiedCardinality	xsd:nonNegativeInteger
owl:Restriction	owl:someValuesFrom	rdfs:Class
owl:Restriction	owl:onProperties	rdf:List
owl:Restriction	owl:allValuesFrom	rdfs:Class
owl:Restriction	owl:maxQualifiedCardinality	xsd:nonNegativeInteger
owl:Restriction	owl:maxCardinality	xsd:nonNegativeInteger
owl:Restriction	owl:hasSelf	rdfs:Resource
owl:Restriction	owl:onProperty	rdf:Property
owl:Restriction	owl:cardinality	xsd:nonNegativeInteger
owl:Restriction	owl:qualifiedCardinality	xsd:nonNegativeInteger
owl:Restriction	owl:minCardinality	xsd:nonNegativeInteger
owl:Restriction	owl:onClass	owl:Class
owl:Thing	owl:sameAs	owl:Thing
owl:Thing	owl:topDataProperty	rdfs:Literal
owl:Thing	owl:differentFrom	owl:Thing
owl:Thing	owl:bottomObjectProperty	owl:Thing
owl:Thing	owl:topObjectProperty	owl:Thing
owl:Thing	owl:bottomDataProperty	rdfs:Literal
rdf:List	rdf:first	rdfs:Resource
rdf:List	rdf:rest	rdf:List
rdf:Property	rdfs:subPropertyOf	rdf:Property
rdf:Property	rdfs:domain	rdfs:Class
rdf:Property	owl:propertyDisjointWith	rdf:Property
rdf:Property	rdfs:range	rdfs:Class
rdf:Property	owl:equivalentProperty	rdf:Property
rdf:Statement	rdf:subject	rdfs:Resource
rdf:Statement	rdf:predicate	rdf:Property
rdf:Statement	rdf:object	rdfs:Resource
rdfs:Class	rdfs:subClassOf	rdfs:Class
rdfs:Class	owl:intersectionOf	rdf:List
rdfs:Class	owl:unionOf	rdf:List
rdfs:Class	owl:oneOf	rdf:List
rdfs:Class	owl:equivalentClass	rdfs:Class
rdfs:Datatype	owl:datatypeComplementOf	rdfs:Datatype
rdfs:Datatype	owl:onDatatype	rdfs:Datatype
rdfs:Datatype	owl:withRestrictions	rdf:List
rdfs:Resource	owl:annotatedProperty	rdfs:Resource
rdfs:Resource	rdfs:member	rdfs:Resource
rdfs:Resource	rdfs:comment	rdfs:Literal
rdfs:Resource	owl:members	rdf:List
rdfs:Resource	rdfs:seeAlso	rdfs:Resource
rdfs:Resource	rdfs:isDefinedBy	rdfs:Resource
rdfs:Resource	owl:annotatedTarget	rdfs:Resource
rdfs:Resource	rdfs:label	rdfs:Literal
rdfs:Resource	owl:deprecated	xsd:boolean
rdfs:Resource	rdf:value	rdfs:Resource
rdfs:Resource	owl:annotatedSource	rdfs:Resource
rdfs:Resource	rdf:type	rdfs:Class
skos:Collection	skos:member	skos:Concept  or skos:Collection
skos:Concept	skos:topConceptOf	skos:ConceptScheme
skos:Concept	skos:semanticRelation	skos:Concept
skos:ConceptScheme	skos:hasTopConcept	skos:Concept
skos:OrderedCollection	skos:memberList	rdf:List
